,Date,Text
147,2021-01-19 10:01:05,"下げそうですね…
業績良い銘柄が高値つけたときに空売り仕掛けられてる感じしますね。
決算後、下げてから戻していくのでしょうか。
オービックは良い企業ですが、日経がパンパンの高値なのが、気になります。"
148,2021-01-19 09:05:08,追加できたけど、どうなるん？
149,2021-01-19 09:05:02,"ビビらせて投げさせよう、安いところ拾おうとしてたら…思いの外の下げだったって感じでしょうか。
どこまで戻すかな。
今週は無理かな。"
150,2021-01-19 09:05:00,良いアク抜けできた気がします。
151,2021-01-18 13:01:00,目先一喜一憂する銘柄ではないだろうが、より高みを目指して昇っていくんでしょうね。
152,2021-01-16 13:05:09,素晴らしい業績をこれほど長い期間続けることは並大抵のことではないと思います。とりあえずは11月末の高値を目指して頑張ってください。
153,2021-01-15 14:01:08,17年連続最高益。素晴らしい。
154,2021-01-14 17:02:08,"2021年01月14日09時13分
オービックが続伸、４～１２月期営業利益１割増で期末配当増額の公算大と報じられる
オービック<4684>が続伸している。きょう付けの日本経済新聞朝刊で「２０２０年４～１２月期連結営業利益は前年同期比１割増の３６０億円程度だったようだ」と報じられており、同期間として１７年連続の最高益となったとの観測が好材料視されているようだ。

記事によると、主力の統合基幹業務システムで採算の良いクラウド契約が伸びたとしている。また、２１年３月期の期末配当予想を２５円引き上げ前年同期比１５円増の１０５円とする公算が大きいと報じられたことも好感されている。

記事に対して会社側は「当社が発表したものではない。業績については現在集計中だが、概ね報道された内容に近い数字を見込んでいる。配当については増配の可能性を現在検討中だが、報道された数値は機関決定したものではない」とコメントしている。なお、決算発表は１月２６日を予定している。"
155,2021-01-14 16:02:00,下落時21950で損切ったのは私です。ツイテナイ
156,2021-01-14 15:00:03,耐えましたね〜
157,2021-01-14 13:01:09,何なんこれ？
158,2021-01-14 12:04:08,この価格帯も買い意欲旺盛ですね！
159,2021-01-14 11:01:06,"良いニュースあるのでは？
ワクワク♡"
160,2021-01-14 10:05:01,ふるい落とせ〜ふるい落とせ〜
161,2021-01-14 10:05:00,"17年連続の最高益…
この株価見直してくれよ！"
162,2021-01-14 10:04:08,昨日インしました。今回は長期ホールドを狙います。
163,2021-01-14 10:04:03,23000奪還に行くのでしょうね！
164,2021-01-14 09:05:08,23000奪還してほしい！
165,2021-01-14 09:00:04,"もしかしたらもう上がってしまうん？
もう少し掴んでおけばよかったかな"
166,2021-01-14 08:05:09,出ました！！　決算前恒例の日経観測記事。増配予想はうれしいね。
167,2021-01-13 12:02:00,期待してるので頑張ってください。最近ダラダラしてるけど長期でみればグレートグロース株なので上昇は間違いない。
168,2021-01-13 01:01:05,綺麗なカップを描きそう？また入ろうかな。
169,2021-01-12 19:02:00,だめだ　折れてる
170,2021-01-10 09:04:04,"お久しぶりです

上昇トレンド見えてきましたね
次期決算発表まで楽しみにしております"
171,2021-01-09 12:03:03,転換点を抜けた確証が持てた。
172,2021-01-08 15:00:01,だと嬉しい‼︎
173,2021-01-08 09:05:04,"移動平均線、MACD、一目均衡表、どこから見ても理想的な買いチャンスの見本のようなチャートになっている。

買残の重さだけが壁だが時間の問題。"
174,2021-01-08 09:04:05,"買い残減ったかな？
ふるい落としが間に合うように！"
175,2021-01-06 13:03:08,せめて、買い残整理されるといいな‼︎
176,2021-01-06 09:05:05,いや、しがみついてます‼︎
177,2021-01-06 09:05:02,"えっ、もう売ったん？
キリンはここは年単位で持つつもりなんよ
良いところで掴んだかも"
178,2021-01-06 09:04:03,"私はいつも買うのが早すぎて、売るのも早すぎる…
頭としつぽはくれてやれ…と言いますが。
私はお腹のお肉ちょっとしか食べてません！"
179,2021-01-06 09:04:02,抜ける時だけ言わんといて~笑
180,2021-01-06 09:03:08,一旦抜けます。ありがとうございました。
181,2021-01-06 09:03:01,"まだはもうなり…
もうはまだなり…
まだなり？"
182,2021-01-06 09:02:06,降りる時、教えてください。
183,2021-01-06 09:01:07,"そー言ってもらえるとうれしい
ありがとう"
184,2021-01-06 09:01:00,キリンさん来たら上がったよ！
185,2021-01-06 09:00:05,あれっ、何かいいことあったん？
186,2021-01-05 15:04:09,最後追い込み凄い
